Song Title;Artist;Lyrics;bpm
Pump It;Black Eyed Peas;"Pump it.
And Pump it louder.
Pump it louder.
Pump it louder.
Pump it louder.

Turn up the radio
Blast your stereo
Right.

Niggas wanna hate on us (Who?)
Niggas be envious (Who?)
I know why they hatin? on us (Why?)
Cause not so Fabolous (What?)
I'm a be real on us (Come on)
Nobody got nuttin? on us (No)
Girls be all on us, from London back down to the U.S.

We rockin' it contagious, monkey business outrageous
Just confess, your girl admits that we the shit
F R E S H we fresh, B E F, that's right we dep rock
We definite, BEP we rockin? it, so.


Turn it up.
Turn it up.
Turn it up.
Turn it up.

Turn it up.
Come on baby just
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo.

Turn up the radio
Blast your stereo right now
This joint is fizzlin? it's sizzlin? right.

You check this out right here?

Dude wanna hate on us (Dude)
Dude need to ease on up (Dude)


Dude wanna act on up
But dude get shut like flavor shut down
Chick say she ain't down
But chick backstage when we in town
She like man on junk food
She wanna hit n? runers
Yeah, that's the speed, that?s what we do, that's who we be
B L A C K E Y E D P to the E, then the A to the S
When we play you shake your ass
Shake it, shake it, shake it girl
Make sure you don't break it, girl, cause we gonna...

Turn it up.
Turn it up.
Turn it up.
Turn it up.

Turn it up.
Come on baby just
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo.

Turn up the radio
Blast your stereo right now
This joint is fizzlin? it?s sizzlin' right.

Damn.
Damn.
Damn.
Damn.
Damn.

APL DE AP from Philippines
Live and direct, rockin? the scene
Break it on down for the B-boys and B-girls waiting to do they thing
Pump it, louder come on, don't stop, and keep it going
Do it, let?s get it on, move it
Come on, baby, do it
Hut.

La da de da da de da,
On the stereo
Let the speakers blow your mind.

Blow my mind baby.

Just let it go, let it go, here we go.
La da de da da de da,

Come on, we're there.

On the radio.
The system?s got me feel so fine.

Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
Pump it louder
And say, oh oh oh oh
Say, oh oh oh oh
Yo yo, turn up the radio
Blast your stereo right now
This joint is fizzlin' it's sizzlin? right.";154
Circus;Britney Spears;"There?s only two types of people in the world:
The ones that entertain, and the ones that observe
Well, baby, I'm a put on-a-show kind of girl
Don?t like the back seat, gotta be first

I'm like the ring leader, I call the shots
(Call the shots)
I'm like a firecracker I make it hot
When I put on a show

I feel the adrenaline moving through my veins
Spotlight on me and I?m ready to break
I?m like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring just like a circus
When I crack that whip everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus


There's only two types of guys out there
Ones that can hang with me and ones that are scared
So, baby, I hope that you came prepared
I run a tight ship so beware

I?m like the ring leader, I call the shots
(Call the shots)
I'm like a firecracker I make it hot
When I put on a show

I feel the adrenaline moving through my veins
Spotlight on me and I?m ready to break
I'm like a performer, the dance floor is my stage
Better be ready, hope that you feel the same

All eyes on me in the center of the ring just like a circus
When I crack that whip everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus

Let?s go
Let me see what you can do
I'm runnin? this like-like-like a circus
Yeah, like a what? Like-like-like a circus


All eyes on me in the center of the ring just like a circus
When I crack that whipv everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus

All eyes on me in the center of the ring just like a circus
When I crack that whipv everybody gon' trip just like a circus
Don?t stand there watching me, follow me, show me what you can do
Everybody let go, we can make a dance floor just like a circus";115
Locked out of Heaven;Bruno Mars;"Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah
Oh, yeah, yeah
Oh, yeah, yeah, yeah, yeah

Never had much faith in love or miracles (miracles)
Never wanna put my heart on the line
But swimming in your world is something spiritual (spiritual)
I?m born again every time you spend the night

('Cause your sex takes me to paradise)
(Yeah, your sex takes me to paradise)
(And it shows, yeah, yeah, yeah)


?Cause you make me feel like
I've been locked out of heaven
For too long, for too long
Yeah, you make me feel like
I've been locked out of heaven
For too long, for too long

You bring me to my knees, you make me testify (testify)
You can make a sinner change his ways
Open up your gates ?cause I can?t wait to see the light (see the light)
And right there is where I wanna stay

'Cause your sex takes me to paradise
Yeah, your sex takes me to paradise
And it shows, yeah...

(?Cause you make me feel like)
(I've been locked out of heaven)
(For too long, for too long)
(Yeah, you make me feel like)
(I?ve been locked out of heaven)
(For too long, for too long)";144
I need A Doctor;Dr. Dre, Eminem, Skylar Grey;"I?m about to lose my mind
You've been gone for so long
I?m runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life

I told the world, one day I would pay it back
Say it on tape, and lay it, record it
So that one day I could play it back
But I don't even know if I believe it when I?m sayin? that
Doubts startin' to creep in, every day it?s just so grey and black


Hope, I just need a ray of that
'Cause no one sees my vision when I play it for ?em
They just say it's wack, but they don?t know what dope is
And I don't know if I was awake or asleep when I wrote this
All I know is, you came to me when I was at my lowest
You picked me up, breathed new life in me, I owe my life to you
But for the life of me, I don't see why you don?t see like I do
But it just dawned on me you lost a son, demons fightin? you
It's dark, let me turn on the lights
And brighten me and enlighten you

I don?t think you realise what you mean to me
Not the slightest clue, 'cause me and you were like a crew
I was like your sidekick, you gon? either wanna fight
When I get off this fuckin' mic, or you gon? hug me
But I'm outta options, there's nothin? else I can do ?cause

I'm about to lose my mind
You?ve been gone for so long
I'm runnin? out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life

It hurts when I see you struggle, you come to me with ideas
You say they're just pieces, so I?m puzzled
'Cause the shit I hear is crazy
But you're either gettin? lazy
Or you don?t believe in you no more
Seems like your own opinions, not one you can form


Can't make a decision, you keep questionin? yourself
Second guessin' and it?s almost like you're beggin? for my help
Like I'm your leader, you're supposed to fuckin? be my mentor
I can endure no more, I demand you remember who you are
It was you who believed in me when everyone was tellin? you
Don't sign me, everyone at the fuckin? label, let's tell the truth!
You risked your career for me, I know it as well as you
Nobody wanted to fuck with the white boy
Dre, I?m cryin' in this booth

You saved my life, now maybe it?s my turn to save yours
But I can never repay you, what you did for me is way more
But I ain't givin' up faith
And you ain?t givin? up on me, get up, Dre!
I'm dyin?, I need you, come back for fuck's sake!

I?m about to lose my mind
You've been gone for so long
I?m runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life
Bring me back to life
Bring me back to life
(I need a doctor, doctor to bring me back to life)

It literally feels like a lifetime ago
But I still remember the shit like it was just yesterday though
You walked in, yellow jump suit, whole room, cracked jokes
Once you got inside the booth, told you, mic smoke
Went through friends, some of them I put on, but they just left
They said they was ridin' to the death
But where the fuck are they now, now that I need them?
I don?t see none of them, all I see is Slim
Fuck all you fair-weather friends! All I need is him

Fuckin? backstabbers!
When the chips were down you just laughed at us
Now you 'bout to feel the fuckin? wrath of Aftermath, faggots!
You gon' see us in our lab jackets
And ask us where the fuck we been?
You can kiss my indecisive ass crack, maggots!
And the cracker?s ass, little cracker jack beat
Makin' wack math, backwards producers, I?m back, bastards!
One more CD and then I'm packin' up my bags, and as
I?m leavin?, I'll guarantee they?ll scream
""Dre, don't leave us like that, man!"" ?cause

I'm about to lose my mind
You?ve been gone for so long
I'm runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life";156
Adventure of a Lifetime;Coldplay;"Turn your magic on
Umi she?d say
Everything you want's a dream away
And we are legends every day
That?s what she told him

Turn your magic on
To me she'd say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds

Now I feel my heart beating
I feel my heart underneath my skin
And I feel my heart beating
Oh, you make me feel
Like I?m alive again
Alive again
Oh, you make me feel
Like I?m alive again


Said, I can't go on
Not in this way
I?m a dream, I die by light of day
Gonna hold up half the sky and say
Oh, we are omen

And I feel my heart beating
I feel my heart underneath my skin
Oh, I can feel my heart beating
'Cause you make me feel
Like I?m alive again
Alive again
Oh, you make me feel
Like I'm alive again

Turn your magic on
To me she?d say
Everything you want's a dream away
Under this pressure, under this weight
We are diamonds, taking shape
We are diamonds, taking shape


If we've only got this life
In this adventure well then I
And if we?ve only got this life
You get me through alive
And if we?ve only got this life
In this adventure well then I
Wanna share it with you
With you
With you
I said, oh
Say, oh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh
Ooh";112
Power;Kanye West;"I?m living in that 21st Century, doing something mean to it
Do it better than anybody you ever seen do it
Screams from the haters, got a nice ring to it
I guess every superhero need his theme music
No one man should have all that power

The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the power
(21st-Century schizoid man)
The system broken, the school is closed, the prison's open
We ain't got nothing to lose, motherfucker we rolling

Huh? Motherfucker we rolling
With some light-skinned girls and some Kelly Rowlands
In this white man world, we the ones chosen
So goodnight, cruel world, I?ll see you in the morning
Huh? I?ll see you in the morning
This is way too much, I need a moment


No one man should have all that power
The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the power
Till then, fuck that, the world's ours

And they say, and they say
And they say, and they say
And they say, and they say

(21st-Century schizoid man)

Fuck SNL and the whole cast
Tell them Yeezy said they can kiss my whole ass
More specifically they can kiss my asshole
I?m an asshole? You niggas got jokes
You short-minded niggas thoughts is Napoleon

My furs is Mongolian, my ice brought the goalies in
And I embody every characteristic of the egotistic
He knows, he's so fucking gifted
I just needed time alone with my own thoughts
Got treasures in my mind but couldn?t open up my own vault

My childlike creativity, purity and honesty
Is honestly being crowded by these grown thoughts
Reality is catching up with me
Taking my inner child, I'm fighting for custody
With these responsibilities that they entrusted me


As I look down at my diamond encrusted piece
Thinking

No one man should have all that power
The clock's ticking, I just count the hours
Stop tripping, I?m tripping off the powder
Till then, fuck that, the world?s ours
And they say, and they say

And they say, and they say
And they say, and they say
(21st-Century schizoid man)

Colin Powells, Austin Powers
Lost in translation with a whole fucking nation
They say I was the abomination of Obama's nation
Well that?s a pretty bad way to start the conversation
At the end of the day, god damn it I'm killing this shit
I know damn well y?all feeling this shit
I don't need your pussy, bitch, I?m on my own dick

I ain't gotta power trip, who you going home with?
How 'Ye doing? I?m surviving
I was drinking earlier, now I?m driving
Where the bad bitches, huh? Where you hiding?
I got the power to make your life so exciting

Now this will be a beautiful death
I'm jumping out the window, I?m letting everything go
I'm letting everything go
Now this will be a beautiful death
I?m jumping out the window, I'm letting everything go

I?m letting everything go
Now this will be a beautiful death
I'm jumping out the window, I'm letting everything go
Letting everything go
You got the power to let power go?

(21st-Century schizoid man)";154
Crazy;Gnarls Barkley;"I remember when
I remember, I remember when I lost my mind
There was something so pleasant about that place
Even your emotions have an echo in so much space

And when you?re out there without care
Yeah, I was out of touch
But it wasn't because I didn?t know enough
I just knew too much

Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly


And I hope that you are having the time of your life
But think twice, that's my only advice
Come on now, who do you, who do you, who do you
Who do you think you are
Ha ha ha, bless your soul
You really think you're in control

I think you?re crazy
I think you?re crazy
I think you're crazy
Just like me

My heroes had the heart to lose their lives out on the limb
And all I remember is thinking I want to be like them

Ever since I was little
Ever since I was little it looked like fun
And it?s no coincidence I've come
And I can die when I?m done

But maybe I'm crazy
Maybe you?re crazy
Maybe we're crazy
Probably";112
Lady - Hear Me Tonight;Modjo;"Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can't you see
You?re my delight
Lady
I just feel like
I won't get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes


Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can?t you see
You're my delight
Lady
I just feel like
I won?t get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes

Lady
Hear me tonight
?Cause my feeling
Is just so right
As we dance
By the moonlight
Can't you see
You?re my delight
Lady
I just feel like
I won't get you
Out of my mind
I feel love
For the first time
And I know that it's true
I can tell by the look in your eyes


Lady
Hear me tonight
?Cause my feeling
Is just so right

Lately
I just feel like
I feel love
For the first time

Lady
Hear me tonight
Can?t you see
You're my delight";126
Calabria 2007;Enur, Natasja;"Easy now no need fi(as in for) go down,
Easy now no need fi go down,
Rock that run that, this where we from
(Repeat 2x)
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 4x)
Easy now no need fi go down
Just walk it gently and no break nah bone,
Cool end-it-ly, you have a style of your own,
Me never kno you saw ya master the saxsaphone
Cause u sound like the talk of the town yea,
Imma lock u when u run come around yea,
Make me wobble, make me whole body bubble,
An me no say ya trouble, when ya ready for the double,
And n u hit that,
No ti-na the mickle (as in middle)
Play with it a lickle(as in little), why you so na tickle
Im tellin? you to, hit that


No ti-na the mickle (as in middle)
Stay with it a lickle(as in little), why you so na tickle
Im feelin' them
(Whoop whoop)
Easy now no need fi go down,
Easy now no need fi go down,
Walk it gently and no break nah bone
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 4x)
Best shown overall, shiny and tall,
One touch make a gal climb whoever you are,
Brass hat, hatter(as in hotter) than fireball
Whoop Whoop!
You not small you not lickle(as in little) at all
Dat touch, just dip on me mind yea
The good feelin dip on rewind yea
Make me wobble, make me whole body bubble,
An me no say ya trouble, when ya ready for the double,
And n u hit that,
No ti-na the mickle (as in middle)
Play with it a lickle(as in little), why you so na tickle
Im tellin? you to, hit that
No ti-na the mickle (as in middle)
Stay with it a lickle(as in little), why you so na tickle
Im feelin' them
Walk it gently and no break nah bone
Easy now no need fi go down,
Easy now no need fi go down,
Rock that run that, this where we from
(Repeat 2x)
Whoop Whoop
When you run come around,
Cu(z) I kno ur the talk of the town yea
(Repeat 8x)
Whooop Whooop!";126
Roses;SAINt JHN, Imanbek;"Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon? make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can?t handle my behavior when I turn it on
Too fast, never ask, if life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be
And I know you won't tell nobody nothing
And I know you won?t tell nobody no


Roses
I might pull up flexing on these niggas like aerobics
I might tell your girl you cute but balling
And that shit gorgeous
Standing on the table, Rosé, Rosé, fuck the waters
You know who the god is

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can?t handle my behavior when I turn it on
Too fast never ask, life don't last
Done been through it all
Fuck with a nigga raw, this who you wanna be

Roses
I walked in the corner with the body screaming dolo
Never sold a bag but look like Pablo in a photo
This gon? make 'em feel the way like Tony killed Manolo
You already know though, you already know though
I walk in the corner with the money on my finger
She might get it popping, I might wife her for the winter
I already know, already know, nigga roses
All I need is roses


Turn up baby, turn up, when I turn it uo
You know how I get too lit when I turn it on
Can?t handle my behavior when I turn it on
Too fast never ask, life don't last
Done been through it all
Fuck with a nigga raw, show you what I mean

And I know you won?t tell nobody nothing
And I know you won't tell nobody no

Roses
I might pull up flexing on these niggas like aerobics
I might tell your girl you cute but balling
And that shit gorgeous
Standing on the table, Rosé, Rosé, fuck the waters
You know who the god is

Turn up baby, turn up, when I turn it on
You know how I get too lit when I turn it on
Can't handle my behavior when I turn it on
Too fast never ask, life don?t last
Done been through it all
Fuck with a nigga raw, show you what I mean";122
Unstoppable;Sia;"All smiles, I know what it takes to fool this town
I?ll do it 'til the sun goes down and all through the night time
Oh yeah
Oh yeah, I?ll tell you what you wanna hear
Leave my sunglasses on while I shed a tear
It's never the right time
Yeah, yeah

I put my armor on, show you how strong how I am
I put my armor on, I'll show you that I am


I?m unstoppable
I?m a Porsche with no brakes
I'm invincible
Yeah, I win every single game
I?m so powerful
I don't need batteries to play
I?m so confident
Yeah, I'm unstoppable today
Unstoppable today
Unstoppable today
Unstoppable today
I?m unstoppable today

Break down, only alone I will cry on out
You'll never see what's hiding out
Hiding out deep down
Yeah, yeah
I know, I?ve heard that to let your feelings go
Is the only way to make friendships grow
But I?m too afraid now
Yeah, yeah

I put my armor on, show you how strong how I am
I put my armor on, I'll show you that I am


I?m unstoppable
I'm a Porsche with no breaks
I?m invincible
Yeah, I win every single game
I'm so powerful
I don?t need batteries to play
I'm so confident
Yeah, I'm unstoppable today
Unstoppable today
Unstoppable today
Unstoppable today
I?m unstoppable today
Unstoppable today
Unstoppable today
Unstoppable today
I?m unstoppable today

I put my arm around, show you how strong I am
I put my arm around, I'll show you that I am

I?m unstoppable
I'm a Porsche with no breaks
I?m invincible
Yeah, I win every single game
I'm so powerful
I don?t need batteries to play
I'm so confident
Yeah, I'm unstoppable today
Unstoppable today
Unstoppable today
Unstoppable today
I?m unstoppable today
Unstoppable today
Unstoppable today
Unstoppable today
I?m unstoppable today";174
This Love;Maroon 5;"I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again but always in my heart, oh

This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin? in front of me
And I have no choice, 'cause I won?t say goodbye anymore

Whoa
Whoa
Whoa

I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again, but uh-oh


This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice, 'cause I won?t say goodbye anymore

Whoa
Whoa
Whoa

I?ll fix these broken things, repair your broken wings
And make sure everything's all right (it?s all right, it's all right)
My pressure on your hips, I?m sinking my fingertips
Every inch of you
'Cause I know that?s what you want me to do

This love has taken its toll on me
She said goodbye too many times before
Her heart is breakin' in front of me
And I have no choice, 'cause I won?t say goodbye anymore

This love has taken its toll on me
She said goodbye too many times before
And my heart is breakin? in front of me
And she said goodbye too many times before


This love has taken its toll on me
She said goodbye too many times before
And her heart is breakin' in front of me
And I have no choice, ?cause I won't say goodbye anymore

This love";95
Whatever It Takes;Imagine Dragons;"Falling too fast to prepare for this
Tripping in the world could be dangerous
Everybody circling, it's vulturous
Negative, nepotist
Everybody waiting for the fall of man
Everybody praying for the end of times
Everybody hoping they could be the one
I was born to run, I was born for this
Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up
Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes
Always had a fear of being typical
Looking at my body feeling miserable
Always hanging on to the visual
I wanna be invisible
Looking at my years like a martyrdom
Everybody needs to be a part of 'em
Never be enough, I'm the prodigal son
I was born to run, I was born for this
Whip, whip
Run me like a racehorse
Pull me like a ripcord
Break me down and build me up
I wanna be the slip, slip
Word upon your lip, lip
Letter that you rip, rip
Break me down and build me up
Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top, I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes
Hypocritical, egotistical
Don't wanna be the parenthetical, hypothetical
Working onto something that I'm proud of, out of the box
An epoxy to the world and the vision we've lost
I'm an apostrophe
I'm just a symbol to remind you that there's more to see
I'm just a product of the system, a catastrophe
And yet a masterpiece, and yet I'm half-diseased
And when I am deceased
At least I go down to the grave and die happily
Leave the body and my soul to be a part of thee
I do what it takes
Whatever it takes
'Cause I love the adrenaline in my veins
I do whatever it takes
'Cause I love how it feels when I break the chains
Whatever it takes
Yeah, take me to the top, I'm ready for
Whatever it takes
'Cause I love the adrenaline in my veins
I do what it takes";135
Bills;LunchMoney Lewis;"I got bills I gotta pay
So I?m gon' work, work, work every day
I got mouths I gotta feed,
So I?m gon' make sure everybody eats
I got bills!

All these bills pile up my desk
They looking like a mount (Everest!)
All the little kids run around
I can hear their stomachs growl (grrr!)
It's a full moon out
And my girl just keep on howlin? (ooh, ooh)
She said she gonna leave me
If I don?t come home with fifty thousand (fifty thousand?)

God damn, God damn, God damn, God damn
Oh man, oh man, oh man, oh man
God damn, oh man, God damn, oh man


I got bills I gotta pay
So I'm gon? work, work, work every day
I got mouths I gotta feed
So I'm gon? make sure everybody eats
I got bills

Woke up and I bumped my head
Stubbed my toe on the edge of the bed
Opened the fridge and the food all gone
Neighbor damn dog crapped on my lawn
Hopped in the car and the car won't start
It?s too damn hot but I still gotta walk
Behind an old lady in the grocery line
Praying that my card don't get declined

God damn, God damn, God damn, God damn
Oh man, oh man, oh man, oh man
God damn, oh man, God damn, oh man

I got bills I gotta pay
So I'm gon? work, work, work every day
I got mouths I gotta feed
So I?m gon' make sure everybody eats
I got!

(Bringin? everybody trouble!)


And my shoes, my shoes
I said my shoes!
Ain't got no sole

I got bills I gotta pay
So I?m gon' work, work, work every day
I got mouths I gotta feed
So I?m gon' make sure everybody eats

I got bills I gotta pay
So I'm gon? work, work, work every day
I got mouths I gotta feed
So I?m gon' make sure everybody eats
I got bills.

(Mama got bills! Yo? daddy got bills! Yo' sister got bills! Yo? auntie got bills!)
I got bills.
(Yo' Uncle got bills! Everybody got bills! Everybody got bills!)";126
Pump It Up;Endor;"Pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up

Don't you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up


Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up

Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up

(Pump it up)
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up


Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up, up-up-up-up-up-up...

Don't you know, pump it up
You got to pump it up
Don?t you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up
Don't you know, pump it up
You got to pump it up";129
Chandelier;Sia ;"Party girls don't get hurt
Can't feel anything, when will I learn?
I push it down, I push it down
I'm the one for a ""good time call""
Phone's blowin' up, ringin' my doorbell
I feel the love, feel the love
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count
I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier
But I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
On for tonight
Sun is up, I'm a mess
Gotta get out now, gotta run from this
Here comes the shame, here comes the shame (ah)
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
One, two, three, one, two, three, drink
Throw 'em back 'til I lose count
I'm gonna swing from the chandelier
From the chandelier
I'm gonna live like tomorrow doesn't exist
Like it doesn't exist
I'm gonna fly like a bird through the night
Feel my tears as they dry
I'm gonna swing from the chandelier
From the chandelier
But I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
Help me, I'm holding on for dear life
Won't look down, won't open my eyes
Keep my glass full until morning light
'Cause I'm just holding on for tonight
On for tonight, on for tonight
'Cause I'm just holding on for tonight
Oh, I'm just holding on for tonight
On for tonight, on for tonight
'Cause I'm just holding on for tonight
'Cause I'm just holding on for tonight
Oh, I'm just holding on for tonight
On for tonight, on for tonight";87
Mr. Brightside;The Killers;"I?m coming out of my cage and I've been doing just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss

Now I?m falling asleep and she's calling a cab
While he's having a smoke and she?s taking a drag
Now they?re going to bed and my stomach is sick
And it's all in my head, but she?s touching his

Chest now, he takes off her dress now
Let me go

I just can't look, it?s killing me
And taking control

Jealousy, turning saints into the sea
Swimming through sick lullabies, choking on your alibis
But it's just the price I pay, destiny is calling me
Open up my eager eyes, ?cause I'm Mr. Brightside


I'm coming out of my cage and I?ve been doing just fine
Gotta, gotta be down because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss

Now I?m falling asleep and she's calling a cab
While he?s having a smoke and she's taking a drag
Now they?re going to bed and my stomach is sick
And it's all in my head, but she?s touching his

Chest now, he takes off her dress now
Let me go

'Cause I just can't look, it?s killing me
And taking control

Jealousy, turning saints into the sea
Swimming through sick lullabies, choking on your alibis
But it?s just the price I pay, destiny is calling me
Open up my eager eyes, 'cause I?m Mr. Brightside

I never
I never
I never
I never";148
Glad You Came;The Wanted;"The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I?m glad you came (Came, came, came)

You cast a spell on me, spell on me
You hit me like the sky fell on me, fell on me
And I decided you look well on me, well on me
So let's go somewhere no one else can see, you and me

Turn the lights out now
Now I?ll take you by the hand
Hand you another drink
Drink it if you can
Can you spend a little time?
Time is slipping away
Away from us, so stay
Stay with me, I can make
Make you glad you came


The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came
I'm glad you came

You cast a spell on me, spell on me
You hit me like the sky fell on me, fell on me
And I decided you look well on me, well on me
So let?s go somewhere no one else can see, you and me

Turn the lights out now
Now I?ll take you by the hand
Hand you another drink
Drink it if you can
Can you spend a little time?
Time is slipping away
Away from us, so stay
Stay with me, I can make
Make you glad you came

The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I'm glad you came
I?m glad you came

I'm glad you came


So glad you came

I?m glad you came

I'm glad you came

The sun goes down, the stars come out
And all that counts is here and now
My universe will never be the same
I?m glad you came
I'm glad you came";127
Something Just Like This;The Chainsmokers, Coldplay;"I?ve been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spider-Man's control
And Batman with his fists
And clearly I don?t see myself up on that list

But she said, ""Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody with some superhuman gifts
Some superhero
Some fairy tale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this""

Do-do-doo, do-do-doo, do-do-doo
Oh, I want something just like this
Do-do-doo, do-do-doo, do-do-doo

Oh, I want something just like this


I want something just like this

I?ve been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls a suit before he lifts
But I?m not the kind of person that it fits

She said, ""Where'd you wanna go?
How much you wanna risk?
I?m not looking for somebody with some superhuman gifts
Some superhero
Some fairy tale bliss
Just something I can turn to
Somebody I can miss""

I want something just like this

I want something just like this

Oh, I want something just like this

Do-do-doo, do-do-doo, do-do-doo
Oh, I want something just like this
Do-do-doo, do-do-doo, do-do-doo


Where'd you wanna go?
How much you wanna risk?
I?m not looking for somebody with some superhuman gifts
Some superhero
Some fairy tale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

Oh, I want something just like this

Oh, I want something just like this

Oh, I want something just like this";103
